date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:55	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-57851ed6ca900993;gz%22	https://gxon.layoutdrop.com/robots.txt		(from )
13:59:55	153833/153833	---M-Z	200	added ('OK')	text/html	etag:%22258e9-698ccfaf-bec35c85f26db3eb;gz%22	https://gxon.layoutdrop.com/demo/	C:/Gxon/gxon/gxon.layoutdrop.com/demo/index.html	(from )
13:59:56	882/882	---M--	200	added ('OK')	image/png	etag:%22372-6925eae0-6e80721d7b4bee46;;;%22	https://gxon.layoutdrop.com/demo/assets/images/favicon.png	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/images/favicon.png	(from https://gxon.layoutdrop.com/demo/)
13:59:56	183080/183080	---M--	200	added ('OK')	image/png	etag:%222cb28-68bd6fc6-67305b53a927ec21;;;%22	https://gxon.layoutdrop.com/demo/preview.png	C:/Gxon/gxon/gxon.layoutdrop.com/demo/preview.png	(from https://gxon.layoutdrop.com/demo/)
13:59:56	7569/7569	---M--	200	added ('OK')	image/png	etag:%221d91-6925eadf-9b9c2f4ff72557fa;;;%22	https://gxon.layoutdrop.com/demo/assets/images/apple-touch-icon.png	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/images/apple-touch-icon.png	(from https://gxon.layoutdrop.com/demo/)
13:59:56	88/88	---M--	200	added ('OK')	text/css	etag:%2258-6925eaf4-666ee53a9ce10d27;;;%22	https://gxon.layoutdrop.com/demo/assets/libs/flaticon/css/all/all.css	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/libs/flaticon/css/all/all.css	(from https://gxon.layoutdrop.com/demo/)
13:59:56	73041/73041	---M-Z	200	added ('OK')	text/css	etag:%2211d51-6925eae3-b352e67442849b90;gz%22	https://gxon.layoutdrop.com/demo/assets/libs/lucide/lucide.css	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/libs/lucide/lucide.css	(from https://gxon.layoutdrop.com/demo/)
13:59:57	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%22120a2-6925eaf1-bb45b08b198c737e;gz%22	https://gxon.layoutdrop.com/demo/assets/libs/fontawesome/css/all.min.css	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/libs/fontawesome/css/all.min.css	(from https://gxon.layoutdrop.com/demo/)
13:59:58	4237/4237	---M-Z	200	added ('OK')	text/css	etag:%22108d-6925eae4-12411ae67844a9bb;gz%22	https://gxon.layoutdrop.com/demo/assets/libs/simplebar/simplebar.css	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/libs/simplebar/simplebar.css	(from https://gxon.layoutdrop.com/demo/)
13:59:58	4561/4561	---M-Z	200	added ('OK')	text/css	etag:%2211d1-6925eae4-16f67708be44910b;gz%22	https://gxon.layoutdrop.com/demo/assets/libs/node-waves/waves.css	C:/Gxon/gxon/gxon.layoutdrop.com/demo/assets/libs/node-waves/waves.css	(from https://gxon.layoutdrop.com/demo/)
